id,question/stem,question/choices/0/text,question/choices/0/label,question/choices/1/text,question/choices/1/label,question/choices/2/text,question/choices/2/label,question/choices/3/text,question/choices/3/label,answerKey
Mercury_417466,Which statement best explains why photosynthesis is the foundation of most food webs?,Sunlight is the source of energy for nearly all ecosystems.,A,Most ecosystems are found on land instead of in water.,B,Carbon dioxide is more available than other gases.,C,The producers in all ecosystems are plants.,D,A
Mercury_7081673,Which piece of safety equipment is used to keep mold spores from entering the respiratory system?,safety goggles,A,breathing mask,B,rubber gloves,C,lead apron,D,B
Mercury_7239733,Meiosis is a type of cell division in which germ cells divide to produce haploid cells. Where does meiosis occur?,brain cells,A,bone cells,B,muscle cells,C,ovary cells,D,D
NYSEDREGENTS_2015_4_8,Which characteristic describes the texture of a kitten's fur?,gray,A,warm,B,long,C,soft,D,D
Mercury_7037258,Which best describes the structure of an atom?,a lightweight core surrounded by neutral particles,A,a massive core surrounded by negatively-charged particles,B,a network of interacting positive and negative particles,C,"overlapping layers of neutral, positive, and negative particles",D,B
CSZ20679,"To express the distance between the Milky Way galaxy and other galaxies, the most appropriate unit of measurement is the",meter.,A,kilometer.,B,light-year.,C,astronomical unit.,D,C
Mercury_182158,A student has just completed a laboratory activity. What is the last action that the student should perform before leaving the lab area?,wash hands,A,turn off all equipment,B,put away all glassware,C,wash instruments and table tops,D,A
Mercury_7216668,Students are investigating the effects of different fertilizers on plant growth. Which units would be best to measure the mass of the fertilizer used?,meters,A,centimeters,B,grams,C,milligrams,D,C
MCAS_2001_5_19,Plants use sunlight to make,soil.,A,minerals.,B,food.,C,water.,D,C
Mercury_SC_413631,Which of these correctly identifies the way materials are transported in a plant?,Xylem carries water from the roots to the leaves.,A,Phloem carries minerals from the roots to the leaves.,B,Xylem carries sugars from the flowers to the stems.,C,Phloem carries water from the flowers to the stems.,D,A
MCAS_2005_5_10,"When trees develop leaves in the spring, 10 changes occur on the forest floor. Why does the development of leaves cause changes on the forest floor?",Rainfall increases.,A,Sunlight is reduced.,B,Wind speed increases.,C,Animal migration is stopped.,D,B
Mercury_7166145,The circulatory system and the endocrine system work together in the human body. Which describes one way in which these systems interact?,taking in oxygen and transporting it to cells of the body,A,releasing hormones and transporting them to cells of the body,B,absorbing nutrients from food and transporting them to cells in the body,C,collecting waste products from the cells and transporting it out of the body,D,B
MSA_2013_5_6,"A student throws a ball into the air. While the ball travels up, the speed of the ball decreases. What force causes the ball to slow while traveling up?",electricity,A,gravity,B,magnetism,C,tension,D,B
Mercury_SC_405199,Which of these will most likely harm a habitat?,planting trees,A,water pollution,B,rainfall,C,sunlight,D,B
NYSEDREGENTS_2015_8_28,All living and nonliving material is composed of,air,1,elements,2,water,3,soil,4,2
Mercury_SC_401777,Which process best explains how the Grand Canyon became so wide?,folding,A,erosion,B,deposition,C,sedimentation,D,B
Mercury_7198188,"As global temperatures increase, certain organisms will be more affected than others. The changes associated with global warming may result in an increase in sea level. Which organisms will be affected most as a result of the change in sea level?",birds that eat fish from shallow waters,A,fish that live in coral reefs in shallow waters,B,"mammals that swim in cold, deep ocean waters",C,crustaceans at the bottom of deep sea ocean waters,D,B
MCAS_1998_4_11,"A dish of sugar water was left on a window sill. One week later, there were only sugar crystals left in the dish. The water was gone. The best explanation for the appearance of sugar crystals is",some of the water was absorbed by the dish.,A,the air condensed.,B,the light shining on the window sill produced more sugar.,C,the water evaporated.,D,D
Mercury_SC_LBS10784,Using a softball bat to hit a softball is an example of using which simple machine?,pulley,A,lever,B,inclined plane,C,wheel and axle,D,B
Mercury_7033548,"When an igneous intrusion comes into contact with surrounding rock, the surrounding rock will",erode.,A,foliate.,B,precipitate.,C,recrystallize.,D,D
Mercury_7146195,A research scientist writes a paper on the initial regrowth of a forest after a fire has damaged the entire ecosystem. Which title would be best for the paper?,Primary Succession,A,Stable Communities,B,Climax Communities,C,Secondary Succession,D,D
NCEOGA_2013_8_36,Where do plants get most of the energy they need to live and grow?,water,A,soil,B,air,C,sunlight,D,D
Mercury_SC_415412,Which is a statement about climate?,The average temperature yesterday was 15Â°C.,A,The temperature range today was 10Â°C to 20Â°C.,B,The high temperature tomorrow will be 14Â°C.,C,The average high temperature in May is 20Â°C.,D,D
Mercury_7126840,"While on a movie set, a stuntman jumps off the roof of a building. As he falls toward an airbag, what is increasing?",gravity,A,wind velocity,B,kinetic energy,C,potential energy,D,C
Mercury_SC_408362,Jessica wants to see cells in an oak tree leaf. Which tool is best for Jessica to use to see the cells?,binoculars,A,microscope,B,reading glasses,C,magnifying glass,D,B
MDSA_2008_8_35,Biologists conduct investigations to learn about living organisms. Which method helps reduce bias during an investigation?,developing a hypothesis after collecting data in the investigation,A,limiting the amount of background research before the investigation,B,designing an investigation with repeated trials during the investigation,C,obtaining other opinions concerning what should happen during the investigation,D,C
NYSEDREGENTS_2015_8_21,Which factor is most likely to cause the number of rabbits living in an area to increase?,less water,1,fewer predators,2,lack of shelter,3,limited food,4,2
VASoL_2008_5_12,"Seeds that remain inactive until the right conditions of light, water, and soil are present are called ___.",pollen,A,dormant,B,flowers,C,recycled,D,B
Mercury_SC_LBS10680,What allows a light bulb to give off light?,the current flowing through the wire to the light bulb,A,the light bulb giving electrical energy to the battery,B,the light bulb generating heat energy,C,the battery pushing light through the wire,D,A
MCAS_2003_5_3,What causes sound?,sunlight,A,vibrations,B,x-rays,C,pitch,D,B
VASoL_2010_5_18,Photosynthesis occurs in which of these organisms?,Sunflower plant,A,Mushroom,B,Sunfish,C,Luna moth,D,A
Mercury_7074900,"In order for cells to grow at a normal rate, they must",take in light.,A,be specialized.,B,take in nutrients.,C,be of similar size.,D,C
Mercury_SC_408762,Marshall learned that plants need a substance from the air to make their own food. What does a plant take from the air in the presence of sunlight?,carbon dioxide,A,hydrogen,B,nitrogen,C,oxygen,D,A
ACTAAP_2015_5_8,Antarctica is a continent at Earth's south pole. Fossils of tropical fern plants were discovered in Antarctica even though these plants do not grow there today. Which conclusion does the fossil evidence best support?,"Millions of years ago, Antarctica was in a warmer location on Earth.",A,"Recently, a natural disaster killed all of the fern plants in Antarctica.",B,"Recently, birds stopped carrying the seeds of fern plants to Antarctica.",C,"Millions of years ago, Earth's south pole was much colder than it is today.",D,A
Mercury_7263008,Which two theories of Moon formation propose that much or all of the material comprising the Moon came from Earth?,The Fission Theory and The Coaccretion Theory,A,The Coaccretion Theory and The Capture Theory,B,The Fission Theory and the Giant Impact Theory,C,The Capture Theory and the Giant Impact Theory,D,C
MCAS_2000_4_29,"When white, fluffy clouds appear in Massachusetts, the weather that day will MOST LIKELY be",fair.,A,stormy.,B,foggy.,C,rainy.,D,A
CSZ_2008_5_CSZ10233,Plants and animals are composed of organic compounds. Which of the following are the common elements found in organic compounds?,"iron, oxygen, nickel, copper.",A,"sodium, potassium, gold, hydrogen.",B,"helium, neon, argon, krypton.",C,"carbon, hydrogen, oxygen, nitrogen.",D,D
Mercury_7128660,New research uncovers information that proves that the data from an old theory is partially incorrect. What should the scientific community do about the old theory?,remove the old theory from historical records,A,change the research notes in the original theory,B,use the new information to update the old theory,C,ban the public from discussing the old theory,D,C
Mercury_7100520,Which is the greatest benefit of sexual reproduction?,capable of reproducing by meiosis,A,ability to reproduce without a mate,B,ability to produce genetically different offspring,C,capable of producing offspring genetically identical to parent,D,C
Mercury_7017728,The speed at which sound waves travel depends on the,distance between the vibration source and the receiver.,A,type of material through which the sound travels.,B,size of the object making the sound.,C,type of device making the sound.,D,B
Mercury_7032865,Which scientist is credited with discovering the first four moons of Jupiter?,Galileo Galilei,A,Albert Einstein,B,Charles Darwin,C,Sir Isaac Newton,D,A
Mercury_405057,"During science class, a teacher explains that the samples the students are studying are made of two or more minerals. What are the students studying?",gases,A,rocks,B,elements,C,molecules,D,B
Mercury_7057593,"When the Northern Hemisphere is tilted away from the Sun causing the rays of light to hit Earth at large angles, which season occurs?",winter,A,spring,B,summer,C,fall,D,A
Mercury_SC_405231,"A scientist found fossils of ocean shells on a mountain top. Based on this find, which statement can be made?",The climate was once colder.,A,The shells were carried by the wind.,B,The mountain was covered by water.,C,The shells once lived on dry land.,D,C
VASoL_2007_5_38,A student sees many plants around a pond. The student can determine which plants are nonvascular by,"observing if they lack true stems, roots, or leaves",A,examining the plants for spores,B,counting the number of leaves on each stalk,C,noticing if the plants are near rocks,D,A
Mercury_SC_410895,Darryl learns that freezing temperatures may help cause weathering. Which statement explains how freezing temperatures most likely cause weathering?,by freezing the leaves on trees,A,by causing rocks to stick together,B,by turning acid rain into acid snow,C,by freezing water in the cracks of rocks,D,D
Mercury_7015978,A bond is formed when an electron is transferred from a sodium atom to a chlorine atom. What happens to the sodium atom during this process?,The mass of the atom increases.,A,The atom becomes an isotope.,B,The atomic number decreases.,C,The atom becomes a positive ion.,D,D
ACTAAP_2010_5_5,A group of fish was released into a local lake. This species of fish had never lived in the lake before. Scientists want to collect data on how the lake's ecosystem is affected by the new fish. Which method of data collection will give the most accurate results?,Measuring oxygen levels in the lake for two months,A,Checking the lake water for nutrient levels on one day,B,Sampling fish populations in the lake over several years,C,Observing the surface of the lake for signs of the new fish after one week,D,C
Mercury_7080955,"On a career day at school, an X-ray technician discusses her daily work with the class. Which equipment would she most likely say she uses on a regular basis to help ensure the safety of patients?",earplugs,A,rubber gloves,B,goggles,C,lead aprons,D,D
ACTAAP_2009_5_4,"In the United States, windmills have been used for farming for hundreds of years. Which simple machine is the most important part of a windmill?",lever,A,pulley,B,inclined plane,C,wheel and axle,D,D
Mercury_7017010,Which tools are needed to measure the effects of friction on a block of wood?,"meter stick, spring scale",A,"balance, stopwatch",B,"balance, meter stick",C,"meter stick, stopwatch",D,A
Mercury_7146108,Planets outside of our solar system have been detected. What suggested the presence of a planet outside of our solar system?,radio wave emissions,A,a wobble in the rotation of the star,B,regular occurring eclipses of its moons,C,the discovery of a star as large as our own,D,B
NYSEDREGENTS_2012_4_12,During which process are pieces of rock material being moved over Earth's surface by water and wind?,conduction,A,deposition,B,erosion,C,revolution,D,C
VASoL_2009_5_3,The Apollo 11 mission was able to retrieve samples of the Moon's surface because it was the first mission to have astronauts,land on the Moon,A,orbit a planet,B,return to Earth,C,walk in space,D,A
Mercury_SC_401253,A student mixes a teaspoon of sugar in a large glass of water. What happens to the sugar when it is mixed with the water?,It boils.,A,It melts.,B,It dissolves.,C,It evaporates.,D,C
Mercury_7235953,"Particle accelerators, such as the Large Hadron Collider in Europe, accelerate subatomic particles to great speeds. These particles move in opposite directions at nearly the speed of light and collide into one another to simulate conditions that were present as the universe formed. Which property of matter in the initial moments of the universe are these accelerators designed to simulate?",low density,A,high energy,B,massive nuclei,C,circular movement,D,B
Mercury_403974,A doorbell circuit converts electrical energy into mechanical energy. The mechanical energy is in the form of vibrations that ultimately produce,chemical energy.,A,thermal energy.,B,radiant energy.,C,sound energy.,D,D
